CONSTRAINT_NAME	CONSTRAINT_TYPE	TABLE_NAME	STATUS	R_CONSTRAINT_NAME	REF_TABLE	SEARCH_CONDITION_VC	COLS
SYS_C008744	C	NOTIFICATIONS	ENABLED			"""KIND_CD"" IS NOT NULL"	KIND_CD
SYS_C008745	C	NOTIFICATIONS	ENABLED			"""SENT_AT"" IS NOT NULL"	SENT_AT
PK_NOTIFICATIONS	P	NOTIFICATIONS	ENABLED				ID
FK_NOTIF_TENANT	R	NOTIFICATIONS	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
UQ_NOTIFICATIONS	U	NOTIFICATIONS	ENABLED				TENANT_ID,KIND_CD,SENT_AT
SYS_C008662	C	PLANS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008663	C	PLANS	ENABLED			"""CODE"" IS NOT NULL"	CODE
SYS_C008664	C	PLANS	ENABLED			"""TIER_CD"" IS NOT NULL"	TIER_CD
SYS_C008665	C	PLANS	ENABLED			"""MONTHLY_FEE"" IS NOT NULL"	MONTHLY_FEE
SYS_C008666	C	PLANS	ENABLED			"""INCLUDED_UNITS"" IS NOT NULL"	INCLUDED_UNITS
SYS_C008667	C	PLANS	ENABLED			"""OVERAGE_RATE"" IS NOT NULL"	OVERAGE_RATE
SYS_C008668	C	PLANS	ENABLED			"""ACTIVE_YN"" IS NOT NULL"	ACTIVE_YN
PK_PLANS	P	PLANS	ENABLED				ID
UQ_PLANS_CODE	U	PLANS	ENABLED				CODE
SYS_C008686	C	RATING_PERIODS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008687	C	RATING_PERIODS	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008688	C	RATING_PERIODS	ENABLED			"""PERIOD_START"" IS NOT NULL"	PERIOD_START
SYS_C008689	C	RATING_PERIODS	ENABLED			"""PERIOD_END"" IS NOT NULL"	PERIOD_END
PK_RATING_PERIODS	P	RATING_PERIODS	ENABLED				ID
FK_RP_TENANT	R	RATING_PERIODS	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
UQ_RATING_PERIODS	U	RATING_PERIODS	ENABLED				TENANT_ID,PERIOD_START
SYS_C008693	C	RATING_RESULTS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008694	C	RATING_RESULTS	ENABLED			"""PERIOD_ID"" IS NOT NULL"	PERIOD_ID
SYS_C008695	C	RATING_RESULTS	ENABLED			"""SUBSCRIPTION_ID"" IS NOT NULL"	SUBSCRIPTION_ID
SYS_C008696	C	RATING_RESULTS	ENABLED			"""USED_UNITS"" IS NOT NULL"	USED_UNITS
SYS_C008697	C	RATING_RESULTS	ENABLED			"""QUOTA_UNITS"" IS NOT NULL"	QUOTA_UNITS
SYS_C008698	C	RATING_RESULTS	ENABLED			"""ROLLOVER_UNITS"" IS NOT NULL"	ROLLOVER_UNITS
SYS_C008699	C	RATING_RESULTS	ENABLED			"""BILLABLE_UNITS"" IS NOT NULL"	BILLABLE_UNITS
SYS_C008700	C	RATING_RESULTS	ENABLED			"""OVERAGE_AMOUNT"" IS NOT NULL"	OVERAGE_AMOUNT
SYS_C008701	C	RATING_RESULTS	ENABLED			"""CREATED_AT"" IS NOT NULL"	CREATED_AT
PK_RATING_RESULTS	P	RATING_RESULTS	ENABLED				ID
FK_RR_PERIOD	R	RATING_RESULTS	ENABLED	PK_RATING_PERIODS	RATING_PERIODS		PERIOD_ID
FK_RR_SUB	R	RATING_RESULTS	ENABLED	PK_SUBSCRIPTIONS	SUBSCRIPTIONS		SUBSCRIPTION_ID
SYS_C008671	C	SUBSCRIPTIONS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008672	C	SUBSCRIPTIONS	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008673	C	SUBSCRIPTIONS	ENABLED			"""PLAN_ID"" IS NOT NULL"	PLAN_ID
SYS_C008674	C	SUBSCRIPTIONS	ENABLED			"""STARTS_ON"" IS NOT NULL"	STARTS_ON
SYS_C008675	C	SUBSCRIPTIONS	ENABLED			"""STATUS_CD"" IS NOT NULL"	STATUS_CD
PK_SUBSCRIPTIONS	P	SUBSCRIPTIONS	ENABLED				ID
FK_SUB_PLAN	R	SUBSCRIPTIONS	ENABLED	PK_PLANS	PLANS		PLAN_ID
FK_SUB_TENANT	R	SUBSCRIPTIONS	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
SYS_C008752	C	SUBSCRIPTIONS_HIST	ENABLED			"""HIST_ID"" IS NOT NULL"	HIST_ID
PK_SUBSCRIPTIONS_HIST	P	SUBSCRIPTIONS_HIST	ENABLED				HIST_ID
SYS_C008656	C	TENANTS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008657	C	TENANTS	ENABLED			"""NAME"" IS NOT NULL"	NAME
SYS_C008658	C	TENANTS	ENABLED			"""TAX_EXEMPT_YN"" IS NOT NULL"	TAX_EXEMPT_YN
SYS_C008659	C	TENANTS	ENABLED			"""STATUS_CD"" IS NOT NULL"	STATUS_CD
PK_TENANTS	P	TENANTS	ENABLED				ID
UQ_TENANTS_NAME	U	TENANTS	ENABLED				NAME
SYS_C008679	C	USAGE_EVENTS	ENABLED			"""ID"" IS NOT NULL"	ID
SYS_C008680	C	USAGE_EVENTS	ENABLED			"""TENANT_ID"" IS NOT NULL"	TENANT_ID
SYS_C008681	C	USAGE_EVENTS	ENABLED			"""OCCURRED_AT"" IS NOT NULL"	OCCURRED_AT
SYS_C008682	C	USAGE_EVENTS	ENABLED			"""UNITS"" IS NOT NULL"	UNITS
SYS_C008683	C	USAGE_EVENTS	ENABLED			"""KIND_CD"" IS NOT NULL"	KIND_CD
PK_USAGE_EVENTS	P	USAGE_EVENTS	ENABLED				ID
FK_USAGE_TENANT	R	USAGE_EVENTS	ENABLED	PK_TENANTS	TENANTS		TENANT_ID
