COLUMN_NAME	DATA_TYPE	DATA_LENGTH	DATA_PRECISION	DATA_SCALE	NULLABLE	TABLE_NAME	COLUMN_ID
UDF_04	VARCHAR2	100			Y	CUSTOMER_MASTER	94
UDF_05	VARCHAR2	100			Y	CUSTOMER_MASTER	95
UDF_06	VARCHAR2	100			Y	CUSTOMER_MASTER	96
UDF_07	VARCHAR2	100			Y	CUSTOMER_MASTER	97
UDF_08	VARCHAR2	100			Y	CUSTOMER_MASTER	98
UDF_09	VARCHAR2	100			Y	CUSTOMER_MASTER	99
UDF_10	VARCHAR2	100			Y	CUSTOMER_MASTER	100
UDF_11	VARCHAR2	100			Y	CUSTOMER_MASTER	101
UDF_12	VARCHAR2	100			Y	CUSTOMER_MASTER	102
UDF_13	VARCHAR2	100			Y	CUSTOMER_MASTER	103
UDF_14	VARCHAR2	100			Y	CUSTOMER_MASTER	104
UDF_15	VARCHAR2	100			Y	CUSTOMER_MASTER	105
UDF_16	VARCHAR2	100			Y	CUSTOMER_MASTER	106
UDF_17	VARCHAR2	100			Y	CUSTOMER_MASTER	107
UDF_18	VARCHAR2	100			Y	CUSTOMER_MASTER	108
UDF_19	VARCHAR2	100			Y	CUSTOMER_MASTER	109
UDF_20	VARCHAR2	100			Y	CUSTOMER_MASTER	110
UDF_21	VARCHAR2	100			Y	CUSTOMER_MASTER	111
UDF_22	VARCHAR2	100			Y	CUSTOMER_MASTER	112
UDF_23	VARCHAR2	100			Y	CUSTOMER_MASTER	113
UDF_24	VARCHAR2	100			Y	CUSTOMER_MASTER	114
UDF_25	VARCHAR2	100			Y	CUSTOMER_MASTER	115
UDF_26	VARCHAR2	100			Y	CUSTOMER_MASTER	116
UDF_27	VARCHAR2	100			Y	CUSTOMER_MASTER	117
UDF_28	VARCHAR2	100			Y	CUSTOMER_MASTER	118
UDF_29	VARCHAR2	100			Y	CUSTOMER_MASTER	119
UDF_30	VARCHAR2	100			Y	CUSTOMER_MASTER	120
UDF_31	VARCHAR2	100			Y	CUSTOMER_MASTER	121
UDF_32	VARCHAR2	100			Y	CUSTOMER_MASTER	122
UDF_33	VARCHAR2	100			Y	CUSTOMER_MASTER	123
UDF_34	VARCHAR2	100			Y	CUSTOMER_MASTER	124
UDF_35	VARCHAR2	100			Y	CUSTOMER_MASTER	125
UDF_36	VARCHAR2	100			Y	CUSTOMER_MASTER	126
UDF_37	VARCHAR2	100			Y	CUSTOMER_MASTER	127
UDF_38	VARCHAR2	100			Y	CUSTOMER_MASTER	128
UDF_39	VARCHAR2	100			Y	CUSTOMER_MASTER	129
UDF_40	VARCHAR2	100			Y	CUSTOMER_MASTER	130
UDF_AMT_01	NUMBER	22	14	2	Y	CUSTOMER_MASTER	131
UDF_AMT_02	NUMBER	22	14	2	Y	CUSTOMER_MASTER	132
UDF_AMT_03	NUMBER	22	14	2	Y	CUSTOMER_MASTER	133
UDF_AMT_04	NUMBER	22	14	2	Y	CUSTOMER_MASTER	134
UDF_AMT_05	NUMBER	22	14	2	Y	CUSTOMER_MASTER	135
UDF_AMT_06	NUMBER	22	14	2	Y	CUSTOMER_MASTER	136
UDF_AMT_07	NUMBER	22	14	2	Y	CUSTOMER_MASTER	137
UDF_AMT_08	NUMBER	22	14	2	Y	CUSTOMER_MASTER	138
UDF_AMT_09	NUMBER	22	14	2	Y	CUSTOMER_MASTER	139
UDF_AMT_10	NUMBER	22	14	2	Y	CUSTOMER_MASTER	140
UDF_DT_01	VARCHAR2	9			Y	CUSTOMER_MASTER	141
UDF_DT_02	VARCHAR2	9			Y	CUSTOMER_MASTER	142
UDF_DT_03	VARCHAR2	9			Y	CUSTOMER_MASTER	143
UDF_DT_04	VARCHAR2	9			Y	CUSTOMER_MASTER	144
UDF_DT_05	VARCHAR2	9			Y	CUSTOMER_MASTER	145
UDF_DT_06	VARCHAR2	9			Y	CUSTOMER_MASTER	146
UDF_DT_07	VARCHAR2	9			Y	CUSTOMER_MASTER	147
UDF_DT_08	VARCHAR2	9			Y	CUSTOMER_MASTER	148
UDF_DT_09	VARCHAR2	9			Y	CUSTOMER_MASTER	149
UDF_DT_10	VARCHAR2	9			Y	CUSTOMER_MASTER	150
CREATED_BY	VARCHAR2	30			Y	CUSTOMER_MASTER	151
CREATED_DT	DATE	7			Y	CUSTOMER_MASTER	152
UPDATED_BY	VARCHAR2	30			Y	CUSTOMER_MASTER	153
UPDATED_DT	DATE	7			Y	CUSTOMER_MASTER	154
ROW_VERSION_NO	NUMBER	22	8	0	Y	CUSTOMER_MASTER	155
HIST_ID	NUMBER	22	12	0	N	CUSTOMER_MASTER_HIST	1
HIST_DT	VARCHAR2	20			Y	CUSTOMER_MASTER_HIST	2
HIST_OP	VARCHAR2	3			Y	CUSTOMER_MASTER_HIST	3
CUST_ID	VARCHAR2	36			Y	CUSTOMER_MASTER_HIST	4
CUST_SEQ_NO	NUMBER	22	12	0	Y	CUSTOMER_MASTER_HIST	5
TENANT_ID	VARCHAR2	36			Y	CUSTOMER_MASTER_HIST	6
CUST_NO	VARCHAR2	20			Y	CUSTOMER_MASTER_HIST	7
CUST_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	8
CUST_NAME_UPPER	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	9
LEGAL_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	10
DBA_NAME	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	11
ADDR_LINE_1	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	12
ADDR_LINE_2	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	13
ADDR_LINE_3	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	14
ADDR_LINE_4	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	15
ADDR_LINE_5	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	16
ADDR_LINE_6	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	17
CITY	VARCHAR2	80			Y	CUSTOMER_MASTER_HIST	18
STATE_CD	VARCHAR2	4			Y	CUSTOMER_MASTER_HIST	19
ZIP	VARCHAR2	12			Y	CUSTOMER_MASTER_HIST	20
ZIP4	VARCHAR2	6			Y	CUSTOMER_MASTER_HIST	21
COUNTRY_CD	VARCHAR2	4			Y	CUSTOMER_MASTER_HIST	22
MAIL_ADDR_LINE_1	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	23
MAIL_ADDR_LINE_2	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	24
MAIL_ADDR_LINE_3	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	25
MAIL_ADDR_LINE_4	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	26
MAIL_ADDR_LINE_5	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	27
MAIL_ADDR_LINE_6	VARCHAR2	120			Y	CUSTOMER_MASTER_HIST	28
MAIL_CITY	VARCHAR2	80			Y	CUSTOMER_MASTER_HIST	29
MAIL_STATE_CD	VARCHAR2	4			Y	CUSTOMER_MASTER_HIST	30
MAIL_ZIP	VARCHAR2	12			Y	CUSTOMER_MASTER_HIST	31
PHONE1	VARCHAR2	25			Y	CUSTOMER_MASTER_HIST	32
PHONE2	VARCHAR2	25			Y	CUSTOMER_MASTER_HIST	33
PHONE3	VARCHAR2	25			Y	CUSTOMER_MASTER_HIST	34
PHONE4	VARCHAR2	25			Y	CUSTOMER_MASTER_HIST	35
PHONE1_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	36
PHONE2_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	37
PHONE3_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	38
PHONE4_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	39
FAX	VARCHAR2	25			Y	CUSTOMER_MASTER_HIST	40
EMAIL_1	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	41
EMAIL_2	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	42
EMAIL_3	VARCHAR2	200			Y	CUSTOMER_MASTER_HIST	43
SIGNUP_DT	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	44
LAST_ACTIVITY_DT	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	45
LAST_INVOICE_DT	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	46
LAST_PAYMENT_DT	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	47
TERMINATE_DT	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	48
STATUS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	49
SUB_STATUS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	50
CUST_TYPE_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	51
SEGMENT_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	52
REGION_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	53
TERRITORY_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	54
CHANNEL_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	55
RATE_CLASS_CD	NUMBER	22	4	0	Y	CUSTOMER_MASTER_HIST	56
TAX_EXEMPT_YN	CHAR	1			Y	CUSTOMER_MASTER_HIST	57
CREDIT_HOLD_YN	CHAR	1			Y	CUSTOMER_MASTER_HIST	58
DUNNING_EXEMPT_YN	CHAR	1			Y	CUSTOMER_MASTER_HIST	59
VIP_YN	CHAR	1			Y	CUSTOMER_MASTER_HIST	60
CUR_BAL_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	61
PAST_DUE_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	62
YTD_BILLED_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	63
LTD_BILLED_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	64
YTD_PAID_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	65
CREDIT_LIMIT_AMT	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	66
RELATED_ACCT_IDS	VARCHAR2	2000			Y	CUSTOMER_MASTER_HIST	67
CHILD_ACCT_IDS	VARCHAR2	2000			Y	CUSTOMER_MASTER_HIST	68
PROMO_CODES_CSV	VARCHAR2	1000			Y	CUSTOMER_MASTER_HIST	69
CONTACT_NOTES	VARCHAR2	4000			Y	CUSTOMER_MASTER_HIST	70
LEGACY_SYS_KEY	VARCHAR2	50			Y	CUSTOMER_MASTER_HIST	71
MAINFRAME_ACCT_NO	VARCHAR2	30			Y	CUSTOMER_MASTER_HIST	72
CONVERSION_BATCH_NO	NUMBER	22	8	0	Y	CUSTOMER_MASTER_HIST	73
FLAG_01	CHAR	1			Y	CUSTOMER_MASTER_HIST	74
FLAG_02	CHAR	1			Y	CUSTOMER_MASTER_HIST	75
FLAG_03	CHAR	1			Y	CUSTOMER_MASTER_HIST	76
FLAG_04	CHAR	1			Y	CUSTOMER_MASTER_HIST	77
FLAG_05	CHAR	1			Y	CUSTOMER_MASTER_HIST	78
FLAG_06	CHAR	1			Y	CUSTOMER_MASTER_HIST	79
FLAG_07	CHAR	1			Y	CUSTOMER_MASTER_HIST	80
FLAG_08	CHAR	1			Y	CUSTOMER_MASTER_HIST	81
FLAG_09	CHAR	1			Y	CUSTOMER_MASTER_HIST	82
FLAG_10	CHAR	1			Y	CUSTOMER_MASTER_HIST	83
FLAG_11	CHAR	1			Y	CUSTOMER_MASTER_HIST	84
FLAG_12	CHAR	1			Y	CUSTOMER_MASTER_HIST	85
FLAG_13	CHAR	1			Y	CUSTOMER_MASTER_HIST	86
FLAG_14	CHAR	1			Y	CUSTOMER_MASTER_HIST	87
FLAG_15	CHAR	1			Y	CUSTOMER_MASTER_HIST	88
FLAG_16	CHAR	1			Y	CUSTOMER_MASTER_HIST	89
FLAG_17	CHAR	1			Y	CUSTOMER_MASTER_HIST	90
FLAG_18	CHAR	1			Y	CUSTOMER_MASTER_HIST	91
FLAG_19	CHAR	1			Y	CUSTOMER_MASTER_HIST	92
FLAG_20	CHAR	1			Y	CUSTOMER_MASTER_HIST	93
UDF_01	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	94
UDF_02	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	95
UDF_03	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	96
UDF_04	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	97
UDF_05	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	98
UDF_06	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	99
UDF_07	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	100
UDF_08	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	101
UDF_09	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	102
UDF_10	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	103
UDF_11	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	104
UDF_12	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	105
UDF_13	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	106
UDF_14	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	107
UDF_15	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	108
UDF_16	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	109
UDF_17	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	110
UDF_18	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	111
UDF_19	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	112
UDF_20	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	113
UDF_21	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	114
UDF_22	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	115
UDF_23	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	116
UDF_24	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	117
UDF_25	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	118
UDF_26	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	119
UDF_27	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	120
UDF_28	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	121
UDF_29	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	122
UDF_30	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	123
UDF_31	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	124
UDF_32	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	125
UDF_33	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	126
UDF_34	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	127
UDF_35	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	128
UDF_36	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	129
UDF_37	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	130
UDF_38	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	131
UDF_39	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	132
UDF_40	VARCHAR2	100			Y	CUSTOMER_MASTER_HIST	133
UDF_AMT_01	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	134
UDF_AMT_02	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	135
UDF_AMT_03	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	136
UDF_AMT_04	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	137
UDF_AMT_05	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	138
UDF_AMT_06	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	139
UDF_AMT_07	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	140
UDF_AMT_08	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	141
UDF_AMT_09	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	142
UDF_AMT_10	NUMBER	22	14	2	Y	CUSTOMER_MASTER_HIST	143
UDF_DT_01	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	144
UDF_DT_02	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	145
UDF_DT_03	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	146
UDF_DT_04	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	147
UDF_DT_05	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	148
UDF_DT_06	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	149
UDF_DT_07	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	150
UDF_DT_08	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	151
UDF_DT_09	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	152
UDF_DT_10	VARCHAR2	9			Y	CUSTOMER_MASTER_HIST	153
CREATED_BY	VARCHAR2	30			Y	CUSTOMER_MASTER_HIST	154
CREATED_DT	DATE	7			Y	CUSTOMER_MASTER_HIST	155
UPDATED_BY	VARCHAR2	30			Y	CUSTOMER_MASTER_HIST	156
UPDATED_DT	DATE	7			Y	CUSTOMER_MASTER_HIST	157
ROW_VERSION_NO	NUMBER	22	8	0	Y	CUSTOMER_MASTER_HIST	158
ID	VARCHAR2	36			N	DUNNING_ATTEMPTS	1
TENANT_ID	VARCHAR2	36			N	DUNNING_ATTEMPTS	2
INVOICE_ID	VARCHAR2	36			N	DUNNING_ATTEMPTS	3
ATTEMPT_NO	NUMBER	22	4	0	N	DUNNING_ATTEMPTS	4
SCHEDULED_FOR	DATE	7			N	DUNNING_ATTEMPTS	5
STATUS_CD	NUMBER	22	4	0	N	DUNNING_ATTEMPTS	6
EAV_ID	NUMBER	22	14	0	N	ENTITY_ATTR_VALUE	1
ENTITY_TYPE	VARCHAR2	30			N	ENTITY_ATTR_VALUE	2
ENTITY_ID	VARCHAR2	36			N	ENTITY_ATTR_VALUE	3
ATTR_NAME	VARCHAR2	100			N	ENTITY_ATTR_VALUE	4
ATTR_VALUE	VARCHAR2	4000			Y	ENTITY_ATTR_VALUE	5
ATTR_TYPE	VARCHAR2	10			Y	ENTITY_ATTR_VALUE	6
CREATED_DT	VARCHAR2	9			Y	ENTITY_ATTR_VALUE	7
INITIALIZED_AT	TIMESTAMP(6)	11		6	N	FIXTURE_META	1
ID	VARCHAR2	36			N	INVOICES	1
TENANT_ID	VARCHAR2	36			N	INVOICES	2
PERIOD_ID	VARCHAR2	36			N	INVOICES	3
ISSUED_AT	TIMESTAMP(6)	11		6	N	INVOICES	4
SUBTOTAL	NUMBER	22	12	2	N	INVOICES	5
TAX	NUMBER	22	12	2	N	INVOICES	6
TOTAL	NUMBER	22	12	2	N	INVOICES	7
STATUS_CD	NUMBER	22	4	0	N	INVOICES	8
INVOICE_ID	VARCHAR2	36			N	INVOICE_HEADER	1
INVOICE_NO	VARCHAR2	30			Y	INVOICE_HEADER	2
CUST_ID	VARCHAR2	36			Y	INVOICE_HEADER	3
TENANT_ID	VARCHAR2	36			Y	INVOICE_HEADER	4
INVOICE_DT	VARCHAR2	9			Y	INVOICE_HEADER	5
DUE_DT	VARCHAR2	9			Y	INVOICE_HEADER	6
STATUS_CD	NUMBER	22	4	0	Y	INVOICE_HEADER	7
TOTAL_AMT	NUMBER	22	14	2	Y	INVOICE_HEADER	8
BATCH_NO	NUMBER	22	8	0	Y	INVOICE_HEADER	9
LINE_ID	VARCHAR2	36			N	INVOICE_LINE	1
INVOICE_NO	VARCHAR2	30			Y	INVOICE_LINE	2
INVOICE_ID	VARCHAR2	36			Y	INVOICE_LINE	3
CUST_ID	VARCHAR2	36			Y	INVOICE_LINE	4
CUST_NO	VARCHAR2	20			Y	INVOICE_LINE	5
CUST_NAME	VARCHAR2	200			Y	INVOICE_LINE	6
